A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;Target
-0.0260286348;-0.4479776825;0.0247437323;1.99361555;-1.5691784263;-0.666011573;2.4877536628;-1.903979457;1.1519133415;1.1952952929;-0.1182351508;0.839067764;-2.8863526169;-1.3363731151;2.3917847204;1.0145388758;1.2564964612;-1.2613993763;1.0223769525;-0.5095812316;-0.8676256981;-0.9476300179;3.0859421446;-0.5201197421;-0.0088262324;-0.5558252066;0.5413376802;0.8761308201;1.3712519298;0.7170217876;-0.9073999485;0.4860285717;-0.29349676;-1.5794310169;-0.3836710493;-0.3909648585;-0.36483409;1.3021794787;-2.263686438;2.4227840892;1
-1.0347836278;-0.4853265066;0.898858553;-0.5818515673;-3.688878902;-1.1086515136;2.0173994626;-4.8812163243;-1.6770904005;0.6495672373;-0.1638182192;-0.609844263;-2.8636173278;-2.7574362477;-0.4188629852;-0.7574478822;-1.2430272577;-0.8763147836;-1.9431099787;0.6631921854;-1.456379583;-0.0172719594;-1.6732947601;-1.0469135328;0.4482656045;-0.290619483;-0.6210905147;0.7128781365;-0.4207258651;-0.3829208263;0.9711753762;-1.4374163465;-1.8288238476;-1.2590969926;-0.0759907382;0.2905606796;0.9293747336;-1.019598472;0.4417108557;1.6690559641;0
0.8712512365;0.0830646585;1.6219915023;0.0541398047;8.1655355517;0.4315809013;0.1672840377;1.9457560231;1.2888659044;-1.1550679399;-0.1339361733;0.0696468275;-10.6050366275;1.8835492138;-1.3753479219;-0.6323372037;1.1930860493;-1.2112345689;1.9848099892;-0.4354534238;0.7746673998;2.0245042125;1.6919442731;-1.9378228377;-1.5167106889;1.1774829838;-0.0904388415;0.6875621108;-2.6558332271;-1.3519503896;1.4730371665;-0.7869655414;0.558211909;1.0999350439;-7.1241053451;1.7807977923;2.4169509193;-0.4345080665;-0.414560842;1.9303990265;0
-0.3147685782;-0.1647623403;0.7225647612;-1.2563569256;0.2102470711;-0.5051731692;3.9892291843;-0.9111135097;2.2364991242;0.5511558664;-1.3874411594;-0.4918282738;-2.8696324268;0.1569658081;-1.8212967578;0.7845660748;1.1904971321;-0.9217544514;-3.1689505394;1.2554063485;0.8381292053;0.522038829;2.0515957889;6.4640784366;1.9912496319;0.1173508034;1.1523212823;0.8622580338;0.051150325;-2.9059925812;0.9496106404;-1.9181091496;-0.8016258959;-0.8276005061;2.0704375547;-1.2585293042;1.2058500719;-1.7460903332;-2.3186819726;-6.1245747735;0
-1.490144203;-0.0835011048;-2.0199650329;0.1768774905;-0.6670907207;-0.3315696983;2.8252347301;-6.5090842436;0.052302976;-0.7531879114;0.9439888624;0.6243179386;-8.0158732435;-2.1235216122;-1.416301977;0.0228990759;-0.152567781;1.738803827;-2.5511012507;0.7037279156;-1.5123376186;-0.097177019;-1.451795061;1.7529149268;0.0726659106;-0.5007175755;-0.916291034;0.1115736105;-3.7497375946;-1.6417633898;0.1799503064;-0.6174094246;-2.8298925009;-0.3879523957;-0.6503165984;0.3800463517;2.5747373508;1.3069990671;-1.0957714932;1.5114778424;0
-0.2501182166;0.7459988201;-0.6668537674;-0.2163687336;2.1526256006;1.2321461307;-1.0133865904;2.6457653435;0.2530699433;-1.8847147961;-2.6280887453;-2.5153477417;4.137506924;-0.8580311783;0.966989388;-0.8932545288;0.4505203101;-0.3472221998;0.5991456615;-0.4339978204;-0.1999425858;-1.5997712113;0.4318848603;2.7347421981;0.6513283982;-0.0493992358;0.0902166284;-0.8561620342;1.7091440535;1.1272353783;-0.3563226715;-1.3753224915;-3.0937924062;-0.7973667142;3.1030951317;0.9507702065;1.3336991559;-0.295561273;1.3314001782;1.479766427;1
1.4114600699;1.4177120554;0.8233522599;-0.5415081029;-3.3646970588;0.0827312498;-0.0777899614;2.1586887518;0.2571208229;-0.1906399914;-0.0786040162;1.3659643961;5.5173603936;0.3678588459;-0.5016940095;-0.6089785141;-0.7165089394;0.4832593204;0.976167309;-0.7122743108;0.1527631197;0.2311232841;-5.7366925413;-3.1343910421;0.5714275071;-0.8683056102;0.4065718789;-0.3006842552;1.7140024881;0.0469473054;-0.935653731;-0.8237219418;-3.9457440092;1.0122477871;-0.5418837399;-0.3003835206;0.493263411;1.0875244087;-0.8672419444;3.5325765474;1
-0.3957093024;0.7467253139;-0.5045265735;1.9423353049;9.1800319296;-1.5387239107;-4.9178776512;0.181701237;-2.5673825437;1.1870109312;-2.5595255259;2.6327651283;-3.9838221317;0.8604437133;-5.3731921392;0.0280141228;-1.1394017019;2.3075962114;2.115903876;0.180305626;0.1723124231;0.3538514119;0.4836809049;9.0793212712;-1.1374240278;-1.398583929;1.4841482926;0.733049233;-1.9543291437;-4.4944647451;-0.8671283749;0.4127330033;0.4868770695;-1.9576945436;-4.8673309685;-0.6363866426;5.4467331766;1.3215921421;-1.4229336327;2.227698506;0
-0.6257023598;-1.1019527959;-0.4950385543;-0.8151343247;7.4144604018;-1.2440877534;-1.723385498;-2.4718412252;-0.3931875493;0.4508743659;-1.4034084079;0.0372824643;0.4025205491;0.5125793806;4.4057232615;-0.3590626933;0.0959610988;1.2443888879;-0.6035119613;2.333099795;2.424212519;-0.6421760844;3.3776677065;8.9390349149;-1.1751710524;-1.1143362936;1.4354973112;1.106831939;1.061683283;-0.4831775865;1.0638059329;2.1414257054;-3.4604557979;-0.4929071559;-1.5461817199;-0.2491957319;1.8350481491;-1.1615836536;-3.4119337994;0.3673061917;1
-0.0522936289;-0.4048288249;0.4517128828;1.4653623676;2.7487978676;0.4941062652;0.7792181716;-1.0289611108;0.3564935207;-0.9464504714;0.1707592857;-1.1315384994;-7.157685615;0.3097971042;-2.6482205134;-1.333789673;1.3336818723;0.168275848;-0.178881142;-0.0026939637;-2.1328458895;0.4238966605;-0.0508373259;0.2045959784;0.3811381441;-0.8229473615;-0.2954176876;-0.9294997949;-2.5049334114;1.1189186692;1.0993654974;-1.0528374409;-2.1027906687;0.0193699281;-3.2974466782;0.2456127245;0.8633327605;-2.4113957136;0.3694449103;0.4234345438;0
-0.5938789442;1.5420067518;-1.0121121672;0.304107104;-3.0146458979;1.0884099174;-0.131588132;-3.584284306;-0.7574268505;0.1783014483;-0.7560943197;-0.1904753348;-3.4810360692;0.7453519121;-2.3195205469;-0.0941337902;0.3111575369;0.2218401292;1.0667340886;0.2539651803;-0.2354616664;0.11073439;3.0289211191;2.020348251;0.2271575303;-1.0463382098;0.3667472764;1.02933102;1.781834353;4.3108875006;0.0455703954;2.1994164642;0.474854948;0.1913936986;-1.0948748058;0.2382733315;0.5144879155;-1.4895908217;1.5972821761;1.2226892659;1
-2.6945625468;0.9880957202;0.4411468793;0.4172399629;-0.6533929269;0.3218358296;-0.106934435;-1.2230319195;0.02603987;0.2293453351;0.5115050348;-0.4130769829;1.7560074405;0.2482537192;1.1887035492;0.0298344878;-0.2477190829;-0.3479093871;1.2660692259;-0.1794921352;0.4976961482;-0.8332521411;-0.5665751455;1.0722834669;-0.2497994127;1.5177781127;-0.6360741424;0.477783402;0.4599128424;4.380088406;1.0105592606;-0.0237242044;-3.4523544755;-1.9814432372;2.9414856165;-0.5705593379;1.6112227972;-1.9107857701;2.8878176445;2.8618231408;0
-1.242872213;0.1050749656;-0.5178997591;0.4347155526;-2.6831171094;-2.2057890569;0.7497550848;-3.5362049581;-0.0569579332;-0.039594526;1.479034667;-0.6090370182;-9.5248583873;0.1521026566;0.1755075948;-1.5676657482;-0.7510073486;-0.385857662;-3.2365473827;0.562090582;0.7571898476;0.2379194596;0.4581965829;-3.2037032885;0.802016205;-0.2754718164;0.1524326048;1.3944952858;-2.6793359246;2.7737905148;0.6176239209;-0.2014936845;1.8603420012;-0.4632215723;-1.8784546392;0.0966698376;3.6525040424;-0.9514635374;-0.8504043959;0.7553272014;0
-1.0394009795;-1.2648561009;-1.4933571458;0.6508567122;14.2744060275;-1.3370866333;-1.2766818834;1.4795557527;0.1359546064;0.8915567716;-0.1234094718;-0.3651378252;-3.7984184778;-1.0539224586;2.3206776739;-1.7311302337;-0.3192384221;0.1363322653;-1.6249773659;0.0340967522;-1.6403103033;-0.4596328869;3.8135470939;6.8379608261;-0.6232437501;-2.3973161128;-0.1450957346;0.353330786;-3.0022475047;-1.5200925873;-0.0944047631;-0.825780811;-5.5182233941;-0.2770106812;-0.8848312307;-0.8560703706;-0.4867737066;0.9192375097;0.3864146432;-1.4985940375;1
0.8835535611;-0.5033028504;-0.002424784;-0.0802589918;4.036188555;1.3045127064;1.5396272045;1.3607028277;1.4845451456;-0.6902411585;1.2514092156;-1.4241402422;-7.4477602419;1.8143180628;0.8671603029;-0.4109451169;0.4023235915;-0.5323583401;-0.72549035;0.2888072295;1.0562972079;0.5069596789;2.7931329205;2.7500372652;-0.3500343175;-2.7714936508;-0.4810862489;0.1191666247;-1.9640308295;1.0016880649;0.2220643867;-1.8262942205;-0.8521608571;-1.8751529917;-0.7438784556;1.3903158098;4.0702806102;-1.4365577886;-3.3741024449;-0.2264965885;0
0.7296574076;-0.0523210396;-0.8977959235;-0.3547404178;-0.3107645342;0.2737650578;-0.892166825;2.1539666567;-0.5750757746;-1.4543669103;0.5072975724;-0.0918765385;4.8074860127;-0.2077020625;-1.0340391316;1.6216298826;1.3442338194;1.5459206583;4.0451258605;0.3517120355;-0.0078372531;-1.6024856091;-1.1990360875;-0.4832515375;0.0396316766;-1.5027423233;0.4812623069;-3.017655932;2.8414993541;-1.8409794905;-0.410314479;-0.5164691667;1.7773011343;-0.1764238514;-1.0691966322;-0.7331045219;0.4470258434;-1.7068398115;1.0370696091;1.6939593596;1
0.0152598882;-0.2468128679;-0.1210776103;0.0853567455;-9.8461596701;0.5108808834;-3.7029361909;-0.0986106239;-0.7630050423;-1.0854945762;0.8805742319;-1.2355086443;3.1542044377;0.4095915105;-0.614723288;0.8110165601;1.467234428;0.0952213073;0.6087224179;0.9742805693;-0.213887531;-0.3349123379;-6.3375219146;-12.1509511571;-0.2123546313;0.4289385765;-1.0977864602;1.1400777365;-0.4671637085;1.0448333009;1.1041256566;0.1807648743;5.2933630197;-0.693811351;-2.3727906117;-0.8382583756;-0.5002442138;1.8560088516;-0.2203068156;5.6666765038;1
-1.9817612418;0.4886033608;0.0213623981;-0.4066730272;-1.7859590218;1.1154625792;-1.0564454541;-2.6692723915;1.5629349164;0.6787907329;-1.4507235544;-0.7601748344;3.4497761092;-0.8252252269;2.8991332711;-0.6811588631;-1.3818382435;0.2341189556;0.4163565898;1.4712255132;1.5282574671;-0.8480376146;-0.9244647144;-0.2832122131;0.1767088163;-1.7144653626;-2.4784209879;0.8249912989;2.4951767736;0.1400458767;1.1534344946;0.8029257152;0.4991958608;0.3969915746;-1.6381628018;0.7514557869;0.4929870316;0.7974667196;-0.6285189061;1.5208850928;1
0.1555314334;-0.433120019;0.6024439075;-0.72717592;2.7076951949;-0.6595942833;1.9430543431;1.9642158224;0.1365352361;0.5249476249;0.9602588235;-0.4710575779;-1.299301695;0.7241662622;-0.4782455814;0.4876241789;0.2419942768;-1.2715715052;-1.7613096784;0.745475929;0.9501179815;1.4706380075;0.7309811222;0.0604262701;0.5647077571;0.0884579281;0.6142265392;0.6458638022;-0.3839697945;-3.6964198611;0.711803509;0.9107558283;-0.2571822772;-1.3415126388;-0.2603704242;-0.3809992443;-1.5495967129;0.9000310523;-0.4621662888;-3.4043177471;0
-1.3929916648;1.1382443029;-0.7541066439;-1.0575048681;-3.0038639916;0.2175489843;0.001129034;1.2408116297;-0.770706775;1.8285831669;0.0772292269;-0.9681631579;5.0630571382;-0.6934928745;0.7134306173;0.9063444614;-0.3407808799;-0.7982216139;0.4432180595;-0.4410672325;0.5922959406;0.4495878452;2.6068771614;4.294905576;-1.3271105482;-0.6237869085;-1.4554997594;-1.0779775086;2.8286762243;3.3835482264;-0.1785136172;-1.2105273549;-0.587720622;-0.5598755549;3.1337722273;1.2258275913;-1.8706992888;-2.3151766551;-2.3203197117;-2.2000347414;1
-1.139981361;-1.063621288;0.1074259523;0.1314132756;7.767766298;1.5864775168;-2.3430584472;-0.2608020933;0.3170049477;0.5274048419;-2.6128509243;1.1910367987;5.5121823005;-0.6918273967;5.1938747997;0.2106031719;1.0230777412;-0.0434688408;0.5153123741;-1.3929875366;1.0955826007;1.1337856473;1.1758133337;4.3478723751;0.3165879743;-1.5756549887;-0.3161760646;1.1577003046;0.2459794985;-2.8415066121;-0.7694752456;1.770773242;-1.2115602365;-0.3331830143;-1.1788575358;2.5108637379;-2.7496077936;-0.5188071912;-1.5090236809;-1.4802599119;1
0.9738734546;2.3539976015;-0.9210565846;-0.1907895076;5.3488835819;-1.9111767426;-1.0244066792;1.0669563049;0.7323284885;-0.7603661779;-0.6271443592;-1.2450457586;-2.0616867022;-0.0686255936;0.0437637057;0.1480112693;0.2732795187;-2.0144017541;3.1408474415;-0.5548638546;-0.4475430123;1.1031585875;1.0492415014;0.7698592634;0.4183044023;0.3014616172;0.4230463589;-0.5540887669;-1.6223770474;-2.4561126036;0.7028309441;0.0511048429;-0.3323825713;-2.1784763762;-3.9499633222;-0.7432669724;-1.6341416036;-0.2499016826;-3.0978755442;2.7811293701;1
0.0453362129;-0.351992647;1.0545695327;-0.675631522;-6.4803205363;2.118286837;0.7483704555;-2.0036058851;-0.4965224957;1.3957640696;0.8322757967;-1.009377094;-1.5899205465;1.3879905913;-4.5001976073;1.965425582;-1.1522015684;0.757633621;-5.4898690909;1.1914319094;0.276955333;-0.8933869585;-0.6601252452;-5.6085984799;-0.4775066197;0.6381983629;-1.2300183582;-1.0490874917;0.6161637459;-3.4041499332;-0.6706064577;0.1896523801;-0.112676289;0.5136578706;2.4058376436;-0.4389880556;-3.2973955759;0.1240918568;4.2766795352;0.9061914478;0
-0.3537212495;-0.5046232397;0.3564811752;1.337929315;-0.0448817666;-1.1471551028;3.9171347032;0.8493657937;0.7723686866;-0.573379212;0.2271527012;0.9516648044;-5.6509648845;0.4364558853;-3.6650438516;0.6756379587;2.8051965122;1.0130243324;3.5713446251;1.7793035519;-0.587137424;-1.0940273406;2.4288355683;5.6560567654;-0.7773128109;1.071865943;-0.2437266915;0.3261099396;0.3271009794;3.4816615566;0.1133520046;0.995595008;-2.8165530582;-0.4205813327;0.0614272227;0.981558641;3.2738135765;-0.3761340158;-2.1501878952;0.2299763779;1
-0.6976103033;0.7390098582;1.1676935432;0.9823126078;6.9938285893;-0.0756663494;1.8857357453;1.0716010473;0.5519711492;0.4760372115;-0.7213038839;-1.1813852869;-3.0749245926;0.3095769676;0.2989032523;0.3690313901;-0.7660168908;0.0348662294;0.8499597469;0.5921312345;-0.6708795128;-0.1796205946;3.381887842;8.6042310839;-0.478984357;1.4806068182;0.1666770855;0.4689049916;-0.7427618908;-2.3593811564;-0.5681393664;-1.2320915751;-0.3285661876;-0.2342759939;0.5005984393;0.7227637874;3.5012054529;0.2504390784;-2.4273670642;-3.7031024269;0
0.2747980045;-0.5802001458;-1.1741517775;0.4569430239;-0.350163083;-0.7123265771;1.2566751572;3.7537660622;-0.9435399591;1.2498368787;-0.1421400412;1.30739943;2.180560656;0.2586408833;-1.2515694041;0.2752546422;1.5117528902;-0.569599408;3.1308952384;-0.7436391274;-0.0028468747;-0.9918644102;-4.117384671;1.2190351992;-1.4373283111;-0.7202307037;0.4086897088;-0.5822628998;-0.5480556418;3.4573273999;-1.7126657449;1.5280855788;-4.2825500828;0.4922166845;0.3913014857;-2.1601714875;2.6679745177;0.9693465169;-1.951745267;0.9653184923;1
0.8620687802;-1.5667559336;-0.0273860911;-0.4545665229;-3.6639716522;-0.6071847816;3.5729051811;-5.2344272814;-1.1533022503;0.1732506927;-0.8955877497;0.8742453002;-7.1697192825;0.2020011997;0.6460091151;-1.0302886871;0.9682518339;0.1453760837;-1.3397366139;-1.3096347093;0.8366959966;-2.1262028294;-0.0571437873;-2.1808968632;1.1451823234;-0.557515141;0.8560265033;-1.7395787642;-0.8403161562;-0.455662239;-1.5148036641;-0.8116770536;0.3665396323;-0.5631495711;-0.5594759192;-0.3805560514;3.3475054298;-1.1979586508;-0.3270205605;2.2756480278;0
1.0881342965;-0.3453754474;0.4752254251;-0.1630225659;4.7312918509;-0.0692417957;-2.2281113144;1.0049380265;0.6590468773;0.1073000975;-0.5933510467;0.2851364983;5.7074363208;-1.1378789894;-1.275962471;-0.073152163;-1.1899291039;-0.2899352486;5.7151829757;0.7402507932;1.4525910251;-0.2845254121;0.0562411218;3.095147559;1.0148000717;2.9178988138;-1.7916277443;-0.0305612303;-0.4239852086;-2.982332865;-1.4462065145;0.4933603659;1.3252844382;0.2698803669;0.6488278711;0.0806752013;-2.7250019441;-0.6645485496;2.5516226191;1.1026166234;1
0.7620593338;-0.8424724478;-0.7976502463;0.1754381311;8.7068918129;0.6028131033;-1.5039123204;-1.1949161025;1.0699112259;-0.1829377657;0.7289971228;0.3811679848;-3.5131263535;-1.483126133;0.162374955;1.1914723906;-0.8675318024;-1.7183579089;0.9852638123;1.1247078768;-1.336096584;0.2456581739;1.3904214415;5.0397608935;0.6076159457;-0.0042264919;-0.0517851182;-0.8402616148;-1.8416664792;-1.9281401063;-0.1410441516;-1.5137195195;-2.6437712578;1.732360684;-3.5388911585;0.1278889659;0.9690215445;-0.7685160137;-0.6805332921;1.2862851526;1
-0.5651184113;0.6655326165;0.0432045076;-0.1291968289;-3.0474326251;0.6404825748;-1.2176486754;1.680189281;0.3189843537;-0.6747523545;1.299716241;0.437387536;-0.0349366788;-1.1924684915;-2.2756663366;-1.0169007404;-1.192230509;-0.7976591666;-0.243986571;-0.5326415779;-0.5029618498;0.5818546845;2.3235276405;-3.1700142626;-0.3267451706;-1.1083725441;1.274963631;-0.3172813415;3.1974570474;2.3220423026;0.3023341941;-0.5476108897;0.0436323359;-0.2572201456;0.0596251473;-0.2970634599;-1.7157851736;-1.5269336767;2.8179916422;2.5387507144;1
0.8988859943;-1.4435974504;0.2939128398;0.4000536032;-1.3446747585;-0.0449822732;0.4218105506;-4.3007192327;0.6242010131;0.2050359338;1.4968378584;-0.5053303368;3.6303388904;1.1227795118;1.9811262079;-0.5232394994;0.7100236548;2.0087870683;0.9514722429;-0.2138198722;0.1875169478;0.3929127969;-1.0599906411;1.2681149046;-1.6122881085;-0.2824836281;-0.931171101;2.8560907691;3.2953526853;-0.4540223114;0.6036851516;-1.7546480791;-1.722308575;-0.40561859;-0.8560307877;-0.7924044507;0.4320178168;0.4447991556;1.8199836307;1.8086760465;1
0.4588133132;0.3548107119;1.1132543604;-1.4310914417;-6.3040298852;-0.7930197038;3.5394912144;2.3080749867;-0.1394799152;1.1924905399;0.6914329506;-1.0341933262;-1.5774535668;0.0314978836;-2.2077708682;-0.6897886225;-1.4099782167;-0.8623851499;0.1576861137;-0.3467818893;-0.1641098413;-0.4762962834;-1.9648258416;-5.5597514532;0.2064397346;-0.2004793186;1.2063010951;-0.527112023;1.4970420086;2.4829394986;-2.0173445221;1.0753928488;-2.0635131581;-0.9384029884;1.4554715774;0.4547417193;0.9930398509;1.1813729535;1.1200524553;2.1298274381;1
0.9255381127;0.9143575358;1.5694750763;0.0243255873;8.9315332119;-0.43752784;-0.6536571829;-0.5437150775;-0.4274447365;0.7084484246;0.7922391859;-0.9261571308;-1.4470930525;0.6375898527;1.6049130184;-1.9741061288;0.1414670688;-0.5795116066;-0.2139430187;0.6258830274;-0.2742285463;-0.7040424831;1.1479249452;4.0591497985;-0.5079017833;0.7147322212;0.9073355909;2.1142266084;-1.0061512369;-1.6389467077;-0.6509251197;-0.8513659229;-3.9994974903;0.7467059669;-2.276114196;-1.8221783427;-0.3909813612;-0.4893737389;0.8917975463;-0.3600566687;1
1.20828984;-0.6451714276;-0.1253800174;-0.3464439122;1.3020642472;-1.3510035206;1.6243928708;-2.5739096727;-0.0535783206;1.3962762268;-0.1378688084;-0.0847722688;-1.319662692;0.8076367831;-0.766930096;1.1356582092;-0.2700333433;0.2201923106;-0.8034724885;-0.3091829453;-0.0218220069;0.9184591139;0.012141021;2.7592800139;0.672698616;1.2168664168;-2.0262889577;-0.0794003228;-0.082929386;0.1879054946;-0.8199191103;0.0225069488;-3.0618052653;-0.206134653;0.4980882082;-1.1257594681;0.1053825598;-1.1702715828;2.2137181261;-1.1336906274;1
0.0559945358;0.08707199;-0.1037683575;-1.7407702599;14.1363056544;0.6969386327;-1.7401408574;-0.727270184;-0.2726163041;-0.1063945766;-1.1376535921;0.0031931706;-0.0705175186;-0.1825501643;5.9054951002;-1.9682205544;-0.0730049424;-0.1272701899;-1.6357836854;-1.5734876306;-1.5379150433;-0.1630724717;3.6660984173;5.4481705385;-0.2227989846;-0.2110640991;-1.3497782959;-2.6718148824;1.3994917189;-1.622125237;0.2387777989;1.6138791051;-5.6626176598;-0.3267910605;-2.2327074542;0.5581941103;0.4106044389;0.1135524789;3.6908973263;-0.3596613782;1
0.0482817659;-0.031181489;-0.524366058;0.243918557;5.7237386452;-0.9237539357;0.3129979561;-0.0344684543;-1.716834761;-0.6650776512;1.6771439498;-0.4006448029;-9.8706776624;0.3848806711;-3.3220076553;0.9344034648;1.245121292;0.109535275;-2.9117991412;0.4392833818;-0.7059281824;0.1060198305;0.4436927574;-0.8765878103;0.6774347619;0.7999338835;0.2641017696;1.7942150443;-2.3521794238;-1.723725073;-1.3693156869;0.6310392003;-1.8753648274;1.363351186;-4.0800239837;1.1856476806;2.551942623;0.7663283907;2.6350768044;-0.0249167555;0
